original_classification,aggregated_mrio
Production of electricity by petroleum and other oil derivatives,Electricity
Production of electricity by gas,Electricity
Production of electricity by nuclear,Electricity
Production of electricity by solar thermal,Electricity
Transmission of electricity,Electricity
Distribution and trade of electricity,Electricity
Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains
Steam and hot water supply,Steam and hot water supply
"Collection, purification and distribution of water (41)","Collection, purification and distribution of water (41)"
"Waste water treatment, food","Waste water treatment, food"
"Waste water treatment, other","Waste water treatment, other"
"Biogasification of food waste, incl. land application","Biogasification of food waste, incl. land application"
"Biogasification of paper, incl. land application","Biogasification of paper, incl. land application"
Landfill of waste: Food,Landfill of waste: Food
"Composting of food waste, incl. land application","Composting of food waste, incl. land application"
"Composting of paper and wood, incl. land application","Composting of paper and wood, incl. land application"
Landfill of waste: Paper,Landfill of waste: Paper
Landfill of waste: Plastic,Landfill of waste: Plastic
"Biogasification of sewage slugde, incl. land application","Biogasification of sewage slugde, incl. land application"
Incineration of waste: Paper,Incineration of waste: Paper
Landfill of waste: Wood,Landfill of waste: Wood
Incineration of waste: Food,Incineration of waste: Food
Incineration of waste: Oil/Hazardous waste,Incineration of waste: Oil/Hazardous waste
Incineration of waste: Textiles,Incineration of waste: Textiles
Incineration of waste: Wood,Incineration of waste: Wood
Incineration of waste: Plastic,Incineration of waste: Plastic
Landfill of waste: Inert/metal/hazardous,Landfill of waste: Inert/metal/hazardous
Incineration of waste: Metals and Inert materials,Incineration of waste: Metals and Inert materials
Landfill of waste: Textiles,Landfill of waste: Textiles
Recycling of waste and scrap,Recycling of waste and scrap
Recycling of bottles by direct reuse,Recycling of bottles by direct reuse
Re-processing of secondary construction material into aggregates,Re-processing of secondary construction material into aggregates
Construction (45),Construction (45)
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)","Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)","Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
Retail sale of automotive fuel,Retail sale of automotive fuel
Transport via railways,Transport via railways
Other land transport,Other land transport
Transport via pipelines,Transport via pipelines
Sea and coastal water transport,Sea and coastal water transport
Inland water transport,Inland water transport
Air transport (62),Air transport (62)
Supporting and auxiliary transport activities; activities of travel agencies (63),Supporting and auxiliary transport activities; activities of travel agencies (63)
Post and telecommunications (64),Post and telecommunications (64)
Hotels and restaurants (55),Hotels and restaurants (55)
Computer and related activities (72),Computer and related activities (72)
"Recreational, cultural and sporting activities (92)","Recreational, cultural and sporting activities (92)"
Other business activities (74),Other business activities (74)
"Financial intermediation, except insurance and pension funding (65)","Financial intermediation, except insurance and pension funding (65)"
"Insurance and pension funding, except compulsory social security (66)","Insurance and pension funding, except compulsory social security (66)"
Activities auxiliary to financial intermediation (67),Activities auxiliary to financial intermediation (67)
Real estate activities (70),Real estate activities (70)
Research and development (73),Research and development (73)
Health and social work (85),Health and social work (85)
Renting of machinery and equipment without operator and of personal and household goods (71),Renting of machinery and equipment without operator and of personal and household goods (71)
Public administration and defence; compulsory social security (75),Public administration and defence; compulsory social security (75)
Education (80),Education (80)
Other service activities (93),Other service activities (93)
Activities of membership organisation n.e.c. (91),Activities of membership organisation n.e.c. (91)
Private households with employed persons (95),Private households with employed persons (95)
Extra-territorial organizations and bodies,Extra-territorial organizations and bodies
