"Planetary boundary","Control variable","impact_parent","impact","impact_unit","stressor","extension","stressor_unit","factor"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Decorative paint applicatoin - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Degreasing - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Dry cleaning - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Extraction/production of (natural) gas - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Extraction/production of crude oil - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Fat, edible and non-edible oil extraction - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Flexography and rotogravure in packaging - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Gasoline distribution - service stations - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Industrial paint application, general industry - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Leather coating - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Manufacture of automobiles - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Mutton and lamb - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Oil refinery - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Organic chemical industry - downstream units - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Organic chemical industry, storage - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Other industrial use of solvents - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Pharmaceutical industry - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Polystyrene processing - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Pork - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Poultry, dressed - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Printing, offset - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Products incorporating solvents - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Raw sugar - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Rotogravure in publication - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Screen printing - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Synthetic rubber - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Tyre production - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Vehicle refinishing - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NMVOC - non combustion - Wire coating - air","air emissions","kg","4.83E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Agglomeration plant - pellets - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Agglomeration plant - sinter - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Bricks production - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Cement production - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Chemical wood pulp, dissolving grades - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Glass production - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Lime production - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Nickel, unwrought - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Oil refinery - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Pig iron production, blast furnace - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Production of coke oven coke - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Production of gascoke - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Refined copper; unwrought, not alloyed - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Refined lead, unwrought - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Steel production: basic oxygen furnace - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Steel production: electric arc furnace - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Sulphuric acid production - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","NOx - non combustion - Zinc, unwrought, not alloyed - air","air emissions","kg","3.67E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Agglomeration plant - pellets - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Agglomeration plant - sinter - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Bricks production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Briquettes production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Carbon black production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Cast iron production (grey iron foundries) - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Cement production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Chemical wood pulp, dissolving grades - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Chromium ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Copper ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Fertilizer production (N-fertilizer) - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Glass production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Gold ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Iron ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Lead ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Lime production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Mining of antracite - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Mining of bituminous coal - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Mining of coking coal - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Mining of lignite (brown coal) - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Mining of sub-bituminous coal - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Molybdenum ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - N- fertilizer production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Nickel ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Nickel, unwrought - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Oil refinery - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Pig iron production, blast furnace - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Platinum ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Primary aluminium production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Production of coke oven coke - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Production of gascoke - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Refined copper; unwrought, not alloyed - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Refined lead, unwrought - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Secondary aluminium production - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Silver ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Steel production: basic oxygen furnace - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Steel production: electric arc furnace - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Steel production: open hearth furnace - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Tin ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Zinc ores and concentrates - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM10 - non combustion - Zinc, unwrought, not alloyed - air","air emissions","kg","9.69E-15"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Agglomeration plant - pellets - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Agglomeration plant - sinter - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Bricks production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Briquettes production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Carbon black production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Cast iron production (grey iron foundries) - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Cement production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Chromium ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Copper ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Glass production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Gold ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Iron ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Lead ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Lime production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Mining of antracite - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Mining of bituminous coal - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Mining of coking coal - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Mining of lignite (brown coal) - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Mining of sub-bituminous coal - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Molybdenum ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - N- fertilizer production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Nickel ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Nickel, unwrought - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Oil refinery - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Pig iron production, blast furnace - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Platinum ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Primary aluminium production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Production of coke oven coke - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Production of gascoke - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Refined lead, unwrought - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Secondary aluminium production - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Silver ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Steel production: basic oxygen furnace - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Steel production: electric arc furnace - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Steel production: open hearth furnace - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Tin ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Zinc ores and concentrates - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","PM2.5 - non combustion - Zinc, unwrought, not alloyed - air","air emissions","kg","5.20E-13"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Agglomeration plant - sinter - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Bricks production - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Cement production - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Chemical wood pulp, dissolving grades - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Glass production - air","air emissions","kg","6.84E-14"
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","AOD yr","SOx - non combustion - Lime production - air","air emissions","kg","6.84E-14"
